begin,end,time interval,login,mac ab,ULSK1,BRAS ip,start count,alive count,stop count,incoming,outcoming,error_count,code 0,code 1011,code 1100,code -3,code -52,code -42,code -21,code -40,code -44,code -46,code -38
1588342275,1588342275,0,0,2c:e4:12:3c:cd:96,BR06231112800000a2c0c2020721, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342275,1588342275,0,1,28:ff:3e:1f:2c:2c,BR09232114900000210a8e126515, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342278,1588342278,0,2,7c:8b:ca:3f:ba:2c,BR06231115300000740e05065025, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342279,1588342279,0,3,c4:a8:1d:27:88:c0,BR152331163000003d62e5110301, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342280,1588342280,0,4,98:de:d0:84:fa:65,BR062311047000002e02bd008362, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
